key,code,moment,start-date,end-date,amount,type,email,link,published,key:project,key:sponsor
sponsorship-31,AEC-223,2022/07/29 00:00,2022/08/06 00:00,2025/08/13 00:00,EUR 20000.00,FINANCIAL,,https://sample.com,true,project-01,sponsor-01
sponsorship-32,ARC-323,2022/07/29 00:00,2022/08/06 00:00,2025/08/13 00:00,EUR 20000.00,FINANCIAL,a@hotmail.com,https://sample.com,true,project-01,sponsor-01
sponsorship-33,ATC-323,2022/07/29 00:00,2022/08/06 00:00,2025/08/13 00:00,EUR 20000.00,FINANCIAL,ab@acme.com,https://sample.com,true,project-01,sponsor-01
sponsorship-34,AYC-423,2022/07/29 00:00,2022/08/06 00:00,2025/08/13 00:00,EUR 20000.00,FINANCIAL,sample_subsample@outlook.com,https://sample.com,true,project-01,sponsor-01
sponsorship-35,AUC-523,2022/07/29 00:00,2022/08/06 00:00,2025/08/13 00:00,EUR 20000.00,FINANCIAL,9t3456789u123456789v123456789w123456789x123456789y123456789z@example.com,https://sample.com,true,project-01,sponsor-01
sponsorship-36,AIC-523,2022/07/29 00:00,2022/08/06 00:00,2025/08/13 00:00,EUR 20000.00,FINANCIAL,t3456789u123456789v123456789w123456789x123456789y123456789z@example.com,https://sample.com,true,project-01,sponsor-01
sponsorship-37,AOC-623,2022/07/29 00:00,2022/08/06 00:00,2025/08/13 00:00,EUR 20000.00,FINANCIAL,sample@gmail.com,,true,project-01,sponsor-01
sponsorship-38,APC-723,2022/07/29 00:00,2022/08/06 00:00,2025/08/13 00:00,EUR 20000.00,FINANCIAL,sample@gmail.com,https://a.com,true,project-01,sponsor-01
sponsorship-39,AAC-723,2022/07/29 00:00,2022/08/06 00:00,2025/08/13 00:00,EUR 20000.00,FINANCIAL,sample@gmail.com,https://aa.com,true,project-01,sponsor-01
sponsorship-40,ASC-823,2022/07/29 00:00,2022/08/06 00:00,2025/08/13 00:00,EUR 20000.00,FINANCIAL,sample@gmail.com,http://www.example.com/a123456789b123456789c123456789d123456789e123456789f123456789g123456789h123456789i123456789j123456789k123456789l123456789m123456789n123456789o123456789p123456789q123456789r123456789s123456789t123456789u123456789v123456789w12345678,true,project-01,sponsor-01
sponsorship-41,ADC-823,2022/07/29 00:00,2022/08/06 00:00,2025/08/13 00:00,EUR 20000.00,FINANCIAL,sample@gmail.com,http://www.example.com/123456789b123456789c123456789d123456789e123456789f123456789g123456789h123456789i123456789j123456789k123456789l123456789m123456789n123456789o123456789p123456789q123456789r123456789s123456789t123456789u123456789v123456789w12345678,true,project-01,sponsor-01
sponsorship-42,AFC-723,2022/07/29 00:00,2022/08/06 00:00,2025/08/13 00:00,EUR 20000.00,FINANCIAL,sample@gmail.com,ftp://example.com/offer?param1=value1&param2=value,true,project-01,sponsor-01
sponsorship-43,AGC-723,2022/07/29 00:00,2022/08/06 00:00,2025/08/13 00:00,EUR 20000.00,FINANCIAL,sample@gmail.com,https://example.com/offer/subfolder/file.pdf,true,project-01,sponsor-01
sponsorship-49,APC-723,2022/07/29 00:00,2022/08/06 00:00,2025/08/13 00:00,EUR 20000.00,FINANCIAL,sample@gmail.com,https://example.com?,true,project-01,sponsor-01
sponsorship-50,APC-723,2022/07/29 00:00,2022/08/06 00:00,2025/08/13 00:00,EUR 20000.00,FINANCIAL,sample@gmail.com,https://example.com?A,true,project-01,sponsor-01
sponsorship-44,AHC-923,2022/07/29 00:00,2022/08/06 00:00,2025/08/13 00:00,EUR 20000.00,FINANCIAL,sample@gmail.com,https://sample.com,false,project-01,sponsor-01
sponsorship-45,AJC-023,2022/07/29 00:00,2022/08/06 00:00,2025/08/13 00:00,EUR 20000.00,FINANCIAL,sample@gmail.com,https://sample.com,true,project-02,sponsor-01
sponsorship-46,AKC-024,2022/07/29 00:00,2022/08/06 00:00,2025/08/13 00:00,EUR 20000.00,FINANCIAL,sample@gmail.com,https://sample.com,true,project-03,sponsor-02
sponsorship-47,PL-993,2022/07/29 00:00,2022/08/06 00:00,2025/08/13 00:00,EUR 20000.00,FINANCIAL,sample@gmail.com,https://sample.com,true,project-01,sponsor-01
sponsorship-48,O-699,2022/07/29 00:00,2022/08/06 00:00,2025/08/13 00:00,EUR 20000.00,FINANCIAL,sample@gmail.com,https://sample.com,true,project-01,sponsor-01
